store_id,sku_id,cat,stock,safety_stock,days_to_expire
S01,K0001,饮料,14,16,66
S01,K0002,乳品,25,17,20
S01,K0003,零食,19,18,70
S01,K0004,日化,9,13,73
S01,K0005,鲜食,43,17,23
S01,K0006,饮料,50,13,78
S01,K0007,乳品,15,19,12
S01,K0008,零食,31,11,66
S01,K0009,日化,13,16,69
S01,K0010,鲜食,15,10,25
S01,K0011,饮料,8,18,64
S01,K0012,乳品,14,10,13
S01,K0013,零食,20,13,80
S01,K0014,日化,31,11,63
S01,K0015,鲜食,38,19,4
S01,K0016,饮料,38,17,93
S01,K0017,乳品,33,12,8
S01,K0018,零食,16,20,96
S01,K0019,日化,27,19,78
S01,K0020,鲜食,47,13,8
S01,K0021,饮料,37,10,118
S01,K0022,乳品,11,19,11
S01,K0023,零食,35,11,38
S01,K0024,日化,8,13,79
S01,K0025,鲜食,48,13,8
S01,K0026,饮料,37,15,37
S01,K0027,乳品,23,11,11
S01,K0028,零食,46,14,97
S01,K0029,日化,31,20,61
S01,K0030,鲜食,8,20,15
S01,K0031,饮料,48,10,53
S01,K0032,乳品,43,13,22
S01,K0033,零食,19,17,41
S01,K0034,日化,39,10,100
S01,K0035,鲜食,15,20,25
S01,K0036,饮料,7,19,38
S01,K0037,乳品,31,17,9
S01,K0038,零食,36,17,82
S01,K0039,日化,34,13,89
S01,K0040,鲜食,26,17,15
S02,K0001,饮料,24,15,78
S02,K0002,乳品,24,15,13
S02,K0003,零食,8,13,109
S02,K0004,日化,37,11,62
S02,K0005,鲜食,26,14,21
S02,K0006,饮料,27,11,55
S02,K0007,乳品,8,12,5
S02,K0008,零食,44,13,78
S02,K0009,日化,25,15,103
S02,K0010,鲜食,20,10,8
S02,K0011,饮料,44,12,98
S02,K0012,乳品,49,13,8
S02,K0013,零食,46,11,54
S02,K0014,日化,28,20,56
S02,K0015,鲜食,9,14,25
S02,K0016,饮料,38,15,113
S02,K0017,乳品,6,17,12
S02,K0018,零食,14,16,32
S02,K0019,日化,6,16,62
S02,K0020,鲜食,32,10,6
S02,K0021,饮料,33,14,79
S02,K0022,乳品,11,15,24
S02,K0023,零食,12,14,110
S02,K0024,日化,37,17,69
S02,K0025,鲜食,15,11,15
S02,K0026,饮料,23,18,83
S02,K0027,乳品,21,20,9
S02,K0028,零食,34,19,47
S02,K0029,日化,20,10,88
S02,K0030,鲜食,42,14,7
S02,K0031,饮料,32,19,36
S02,K0032,乳品,35,12,12
S02,K0033,零食,15,20,74
S02,K0034,日化,15,13,34
S02,K0035,鲜食,28,18,25
S02,K0036,饮料,18,17,109
S02,K0037,乳品,12,12,16
S02,K0038,零食,39,12,77
S02,K0039,日化,21,18,98
S02,K0040,鲜食,43,11,19
S03,K0001,饮料,47,19,105
S03,K0002,乳品,43,15,11
S03,K0003,零食,29,20,40
S03,K0004,日化,44,19,72
S03,K0005,鲜食,50,19,4
S03,K0006,饮料,25,16,65
S03,K0007,乳品,23,14,23
S03,K0008,零食,21,15,85
S03,K0009,日化,20,19,48
S03,K0010,鲜食,6,14,2
S03,K0011,饮料,28,12,39
S03,K0012,乳品,14,18,11
S03,K0013,零食,36,18,78
S03,K0014,日化,26,14,76
S03,K0015,鲜食,5,11,17
S03,K0016,饮料,42,17,94
S03,K0017,乳品,43,20,17
S03,K0018,零食,7,11,74
S03,K0019,日化,24,16,117
S03,K0020,鲜食,7,19,16
S03,K0021,饮料,19,16,116
S03,K0022,乳品,14,20,17
S03,K0023,零食,7,12,73
S03,K0024,日化,49,10,94
