ts,store_id,sku_id,cat,qty,amount
2026-07-18 22:12,S01,K0011,饮料,2,28.9
2026-07-18 22:33,S01,K0018,零食,3,13.77
2026-07-18 22:29,S01,K0039,日化,1,6.23
2026-07-18 22:18,S01,K0011,饮料,2,57.8
2026-07-18 22:03,S01,K0036,饮料,3,24.52
2026-07-18 22:03,S01,K0004,日化,1,38.34
2026-07-18 22:06,S01,K0026,饮料,1,34.14
2026-07-18 23:30,S01,K0014,日化,2,50.68
2026-07-18 22:58,S01,K0030,鲜食,2,22.79
2026-07-18 23:36,S01,K0016,饮料,3,15.96
2026-07-18 23:16,S01,K0038,零食,3,20.9
2026-07-18 23:03,S01,K0024,日化,1,52.7
2026-07-18 23:37,S01,K0006,饮料,1,9.36
2026-07-18 23:29,S01,K0010,鲜食,1,43.72
2026-07-19 00:13,S01,K0025,鲜食,3,40.32
2026-07-19 00:05,S01,K0034,日化,3,4.47
2026-07-19 01:37,S01,K0035,鲜食,2,20.58
2026-07-19 01:07,S01,K0008,零食,2,20.44
2026-07-19 02:35,S01,K0001,饮料,3,33.0
2026-07-19 02:37,S01,K0033,零食,1,25.55
2026-07-19 02:42,S01,K0020,鲜食,3,6.09
2026-07-19 02:12,S01,K0010,鲜食,1,21.86
2026-07-19 02:09,S01,K0039,日化,2,6.23
2026-07-19 03:45,S01,K0024,日化,2,26.35
2026-07-19 03:04,S01,K0004,日化,3,19.17
2026-07-19 03:35,S01,K0006,饮料,2,9.36
2026-07-19 04:31,S01,K0009,日化,2,10.05
2026-07-19 04:22,S01,K0017,乳品,3,67.26
2026-07-19 04:48,S01,K0014,日化,3,25.34
2026-07-19 04:14,S01,K0020,鲜食,3,12.18
2026-07-19 05:17,S01,K0034,日化,1,4.47
2026-07-19 04:53,S01,K0015,鲜食,2,13.89
2026-07-19 05:24,S01,K0038,零食,1,10.45
2026-07-19 04:53,S01,K0001,饮料,3,16.5
2026-07-19 04:53,S01,K0015,鲜食,1,27.78
2026-07-19 06:04,S01,K0033,零食,2,51.1
2026-07-19 06:23,S01,K0014,日化,1,50.68
2026-07-19 07:40,S01,K0031,饮料,2,30.57
2026-07-19 06:55,S01,K0007,乳品,3,47.6
2026-07-19 07:16,S01,K0023,零食,2,57.66
2026-07-19 07:52,S01,K0007,乳品,2,47.6
2026-07-19 08:04,S01,K0007,乳品,1,23.8
2026-07-19 08:57,S01,K0029,日化,2,29.54
2026-07-19 09:18,S01,K0018,零食,1,13.77
2026-07-19 09:40,S01,K0029,日化,3,29.54
2026-07-19 09:30,S01,K0004,日化,3,19.17
2026-07-19 09:48,S01,K0006,饮料,1,9.36
2026-07-19 09:20,S01,K0027,乳品,2,15.11
2026-07-19 09:46,S01,K0026,饮料,1,34.14
2026-07-19 08:49,S01,K0025,鲜食,2,40.32
2026-07-19 09:07,S01,K0030,鲜食,2,45.58
2026-07-19 09:01,S01,K0010,鲜食,2,21.86
2026-07-19 10:36,S01,K0038,零食,3,10.45
2026-07-19 09:52,S01,K0021,饮料,1,60.24
2026-07-19 10:59,S01,K0034,日化,1,4.47
2026-07-19 10:53,S01,K0012,乳品,3,3.21
2026-07-19 11:14,S01,K0016,饮料,1,7.98
2026-07-19 11:27,S01,K0038,零食,1,10.45
2026-07-19 11:31,S01,K0027,乳品,3,30.22
2026-07-19 11:02,S01,K0017,乳品,3,67.26
2026-07-19 11:05,S01,K0016,饮料,2,7.98
2026-07-19 11:18,S01,K0020,鲜食,2,6.09
2026-07-19 11:18,S01,K0001,饮料,3,16.5
2026-07-19 11:23,S01,K0005,鲜食,1,7.7
2026-07-19 12:45,S01,K0023,零食,1,28.83
2026-07-19 12:07,S01,K0024,日化,1,52.7
2026-07-19 12:34,S01,K0035,鲜食,2,10.29
2026-07-19 13:45,S01,K0007,乳品,1,47.6
2026-07-19 13:45,S01,K0008,零食,1,20.44
2026-07-19 13:07,S01,K0018,零食,3,13.77
2026-07-19 13:02,S01,K0022,乳品,3,44.64
2026-07-19 14:46,S01,K0017,乳品,1,33.63
2026-07-19 14:42,S01,K0028,零食,2,20.67
2026-07-19 14:10,S01,K0001,饮料,1,33.0
2026-07-19 14:36,S01,K0011,饮料,2,57.8
2026-07-19 13:49,S01,K0036,饮料,1,12.26
2026-07-18 22:23,S02,K0010,鲜食,1,43.72
2026-07-18 22:24,S02,K0038,零食,1,20.9
2026-07-18 21:51,S02,K0009,日化,2,20.1
2026-07-18 22:46,S02,K0003,零食,2,10.0
2026-07-18 22:31,S02,K0016,饮料,1,15.96
2026-07-18 22:45,S02,K0036,饮料,2,12.26
2026-07-18 22:44,S02,K0016,饮料,1,7.98
2026-07-18 23:00,S02,K0002,乳品,3,7.9
2026-07-18 23:40,S02,K0027,乳品,3,15.11
2026-07-18 22:59,S02,K0018,零食,3,13.77
2026-07-18 23:44,S02,K0025,鲜食,1,40.32
2026-07-18 23:01,S02,K0015,鲜食,2,27.78
2026-07-19 00:03,S02,K0015,鲜食,1,13.89
2026-07-19 00:10,S02,K0026,饮料,2,34.14
2026-07-19 00:11,S02,K0018,零食,3,27.54
2026-07-19 01:10,S02,K0035,鲜食,1,10.29
2026-07-19 01:00,S02,K0017,乳品,3,67.26
2026-07-19 00:55,S02,K0003,零食,3,20.0
2026-07-19 01:35,S02,K0023,零食,2,57.66
2026-07-19 01:56,S02,K0033,零食,2,25.55
2026-07-19 01:51,S02,K0017,乳品,3,67.26
2026-07-19 02:22,S02,K0001,饮料,3,16.5
2026-07-19 02:16,S02,K0024,日化,1,52.7
2026-07-19 03:31,S02,K0021,饮料,1,60.24
2026-07-19 03:08,S02,K0033,零食,3,51.1
2026-07-19 03:14,S02,K0021,饮料,3,60.24
2026-07-19 02:57,S02,K0036,饮料,1,24.52
2026-07-19 03:32,S02,K0025,鲜食,3,20.16
2026-07-19 03:25,S02,K0040,鲜食,2,23.8
2026-07-19 04:08,S02,K0001,饮料,2,16.5
2026-07-19 04:39,S02,K0028,零食,3,41.34
2026-07-19 04:17,S02,K0030,鲜食,2,22.79
2026-07-19 04:19,S02,K0033,零食,3,25.55
2026-07-19 04:07,S02,K0006,饮料,3,18.72
2026-07-19 04:41,S02,K0006,饮料,1,18.72
2026-07-19 04:58,S02,K0013,零食,1,28.79
2026-07-19 05:19,S02,K0016,饮料,3,7.98
2026-07-19 06:45,S02,K0027,乳品,3,15.11
2026-07-19 06:20,S02,K0025,鲜食,2,20.16
2026-07-19 06:30,S02,K0010,鲜食,3,21.86
2026-07-19 07:03,S02,K0028,零食,1,41.34
2026-07-19 07:24,S02,K0004,日化,1,19.17
2026-07-19 08:40,S02,K0009,日化,2,20.1
2026-07-19 08:28,S02,K0029,日化,3,59.08
2026-07-19 08:17,S02,K0036,饮料,1,24.52
2026-07-19 09:37,S02,K0017,乳品,1,67.26
2026-07-19 09:20,S02,K0034,日化,3,4.47
2026-07-19 09:17,S02,K0018,零食,1,27.54
2026-07-19 09:06,S02,K0016,饮料,2,15.96
2026-07-19 08:54,S02,K0035,鲜食,1,10.29
2026-07-19 10:33,S02,K0025,鲜食,1,20.16
2026-07-19 10:15,S02,K0005,鲜食,2,7.7
2026-07-19 10:18,S02,K0035,鲜食,2,10.29
2026-07-19 11:13,S02,K0027,乳品,3,15.11
2026-07-19 11:13,S02,K0037,乳品,2,5.55
2026-07-19 11:08,S02,K0023,零食,2,57.66
2026-07-19 12:40,S02,K0035,鲜食,3,10.29
2026-07-19 12:03,S02,K0032,乳品,2,42.96
2026-07-19 11:50,S02,K0032,乳品,2,42.96
2026-07-19 12:35,S02,K0026,饮料,1,68.28
2026-07-19 13:23,S02,K0040,鲜食,1,23.8
2026-07-19 13:25,S02,K0038,零食,3,10.45
2026-07-19 13:57,S02,K0028,零食,2,20.67
2026-07-19 14:05,S02,K0004,日化,2,38.34
2026-07-18 22:09,S03,K0030,鲜食,2,45.58
2026-07-18 22:37,S03,K0018,零食,2,27.54
2026-07-18 22:19,S03,K0006,饮料,1,9.36
2026-07-18 23:30,S03,K0015,鲜食,1,13.89
2026-07-18 23:04,S03,K0002,乳品,1,3.95
2026-07-18 22:58,S03,K0040,鲜食,1,11.9
2026-07-18 23:31,S03,K0031,饮料,1,30.57
2026-07-19 00:38,S03,K0017,乳品,2,33.63
2026-07-19 00:27,S03,K0039,日化,3,6.23
2026-07-19 00:08,S03,K0011,饮料,1,28.9
2026-07-19 01:32,S03,K0037,乳品,2,11.1
2026-07-19 00:53,S03,K0013,零食,3,28.79
2026-07-19 01:33,S03,K0007,乳品,2,23.8
2026-07-19 02:23,S03,K0023,零食,2,57.66
2026-07-19 02:21,S03,K0005,鲜食,3,7.7
2026-07-19 03:41,S03,K0027,乳品,2,15.11
2026-07-19 03:12,S03,K0028,零食,3,41.34
2026-07-19 04:00,S03,K0028,零食,3,41.34
2026-07-19 04:40,S03,K0040,鲜食,3,23.8
2026-07-19 04:16,S03,K0030,鲜食,3,45.58
2026-07-19 05:42,S03,K0016,饮料,1,15.96
2026-07-19 05:04,S03,K0029,日化,2,59.08
2026-07-19 04:50,S03,K0022,乳品,2,44.64
2026-07-19 06:02,S03,K0032,乳品,2,42.96
2026-07-19 06:06,S03,K0022,乳品,3,44.64
2026-07-19 07:01,S03,K0034,日化,1,4.47
2026-07-19 07:20,S03,K0027,乳品,3,15.11
2026-07-19 08:17,S03,K0032,乳品,1,21.48
2026-07-19 08:03,S03,K0019,日化,2,5.97
2026-07-19 08:31,S03,K0020,鲜食,3,12.18
2026-07-19 09:22,S03,K0036,饮料,2,24.52
2026-07-19 09:10,S03,K0036,饮料,2,24.52
2026-07-19 09:08,S03,K0018,零食,2,13.77
2026-07-19 09:35,S03,K0008,零食,1,40.88
2026-07-19 09:36,S03,K0008,零食,3,20.44
2026-07-19 10:36,S03,K0014,日化,2,50.68
2026-07-19 10:37,S03,K0038,零食,3,20.9
2026-07-19 10:42,S03,K0007,乳品,1,47.6
2026-07-19 11:00,S03,K0024,日化,2,26.35
2026-07-19 10:57,S03,K0035,鲜食,2,10.29
2026-07-19 11:24,S03,K0004,日化,2,19.17
2026-07-19 12:44,S03,K0007,乳品,1,47.6
2026-07-19 12:19,S03,K0031,饮料,2,61.14
2026-07-19 11:52,S03,K0012,乳品,2,6.42
2026-07-19 13:14,S03,K0005,鲜食,2,3.85
2026-07-19 13:29,S03,K0037,乳品,3,5.55
2026-07-19 14:40,S03,K0010,鲜食,3,43.72
2026-07-19 14:04,S03,K0006,饮料,1,18.72
2026-07-18 22:13,S04,K0034,日化,2,8.94
2026-07-18 22:44,S04,K0020,鲜食,3,12.18
2026-07-18 22:25,S04,K0020,鲜食,3,6.09
2026-07-18 22:36,S04,K0040,鲜食,1,11.9
2026-07-18 22:05,S04,K0014,日化,3,25.34
2026-07-18 23:00,S04,K0016,饮料,3,7.98
2026-07-18 22:49,S04,K0011,饮料,2,57.8
2026-07-18 23:19,S04,K0039,日化,2,6.23
2026-07-18 23:07,S04,K0015,鲜食,3,27.78
2026-07-19 00:32,S04,K0005,鲜食,1,7.7
2026-07-19 00:31,S04,K0038,零食,1,20.9
2026-07-19 00:23,S04,K0008,零食,1,20.44
2026-07-19 00:41,S04,K0018,零食,1,13.77
2026-07-18 23:59,S04,K0004,日化,2,38.34
2026-07-19 01:18,S04,K0008,零食,3,40.88
2026-07-19 01:06,S04,K0026,饮料,3,68.28
2026-07-19 00:54,S04,K0029,日化,3,29.54
2026-07-19 01:36,S04,K0028,零食,2,41.34
2026-07-19 00:54,S04,K0002,乳品,1,3.95
2026-07-19 01:51,S04,K0037,乳品,1,11.1
2026-07-19 02:30,S04,K0034,日化,2,8.94
2026-07-19 02:26,S04,K0012,乳品,2,6.42
2026-07-19 02:19,S04,K0006,饮料,2,18.72
2026-07-19 03:31,S04,K0021,饮料,1,30.12
2026-07-19 03:15,S04,K0022,乳品,3,44.64
2026-07-19 03:31,S04,K0019,日化,2,5.97
2026-07-19 02:54,S04,K0030,鲜食,2,45.58
2026-07-19 02:56,S04,K0021,饮料,2,30.12
2026-07-19 03:18,S04,K0035,鲜食,2,10.29
2026-07-19 03:22,S04,K0013,零食,2,57.58
2026-07-19 04:02,S04,K0004,日化,2,19.17
2026-07-19 04:17,S04,K0019,日化,3,11.94
2026-07-19 03:50,S04,K0008,零食,3,20.44
2026-07-19 04:08,S04,K0011,饮料,3,28.9
