store_id,sku_id,system_price,tag_price,pos_price
S01,K0001,16.5,16.5,16.5
S01,K0002,3.95,3.95,3.95
S01,K0003,10.0,10.0,10.0
S01,K0004,19.17,19.17,19.17
S01,K0005,3.85,3.85,3.85
S01,K0006,9.36,9.36,9.36
S01,K0007,23.8,23.8,23.8
S01,K0008,20.44,20.44,20.44
S01,K0009,10.05,10.05,10.05
S01,K0010,21.86,21.86,21.86
S01,K0011,28.9,28.9,28.9
S01,K0012,3.21,3.21,3.21
S01,K0013,28.79,28.79,28.79
S01,K0014,25.34,25.34,25.34
S01,K0015,13.89,13.89,13.89
S01,K0016,7.98,7.98,7.98
S01,K0017,33.63,33.63,33.63
S01,K0018,13.77,13.77,13.77
S01,K0019,5.97,5.97,5.97
S01,K0020,6.09,6.09,6.09
S01,K0021,30.12,30.12,30.12
S01,K0022,22.32,22.32,22.32
S01,K0023,28.83,28.83,28.83
S01,K0024,26.35,26.35,26.35
S01,K0025,20.16,20.16,20.16
S01,K0026,34.14,34.14,34.14
S01,K0027,15.11,15.11,15.11
S01,K0028,20.67,20.67,20.67
S01,K0029,29.54,29.54,29.54
S01,K0030,22.79,22.79,22.79
S01,K0031,30.57,30.57,30.57
S01,K0032,21.48,21.48,21.48
S01,K0033,25.55,25.55,25.55
S01,K0034,4.47,4.47,4.47
S01,K0035,10.29,10.29,10.29
S01,K0036,12.26,12.26,12.26
S01,K0037,5.55,5.55,5.55
S01,K0038,10.45,10.45,10.45
S01,K0039,6.23,6.23,6.23
S01,K0040,11.9,11.9,11.9
S02,K0001,16.5,16.5,16.5
S02,K0002,3.95,3.95,3.95
S02,K0003,10.0,10.0,10.0
S02,K0004,19.17,19.17,19.17
S02,K0005,3.85,3.85,3.85
S02,K0006,9.36,9.36,9.36
S02,K0007,23.8,23.8,23.8
S02,K0008,20.44,20.44,20.44
S02,K0009,10.05,10.05,10.05
S02,K0010,21.86,21.86,21.86
S02,K0011,28.9,28.9,28.9
S02,K0012,3.21,3.21,3.21
S02,K0013,28.79,28.79,28.79
S02,K0014,25.34,25.34,25.34
S02,K0015,13.89,13.89,13.89
S02,K0016,7.98,7.98,7.98
S02,K0017,33.63,33.63,33.63
S02,K0018,13.77,13.77,13.77
S02,K0019,5.97,5.97,5.97
S02,K0020,6.09,6.09,6.09
S02,K0021,30.12,30.12,30.12
S02,K0022,22.32,22.32,22.32
S02,K0023,28.83,28.83,28.83
S02,K0024,26.35,26.35,26.35
S02,K0025,20.16,20.16,20.16
S02,K0026,34.14,34.14,34.14
S02,K0027,15.11,15.11,15.11
S02,K0028,20.67,20.67,20.67
S02,K0029,29.54,29.54,29.54
S02,K0030,22.79,22.79,22.79
S02,K0031,30.57,30.57,30.57
S02,K0032,21.48,21.48,21.48
S02,K0033,25.55,25.55,25.55
S02,K0034,4.47,4.47,4.47
S02,K0035,10.29,10.29,10.29
S02,K0036,12.26,12.26,12.26
S02,K0037,5.55,5.55,5.55
S02,K0038,10.45,10.45,10.45
S02,K0039,6.23,6.23,6.23
S02,K0040,11.9,11.9,11.9
S03,K0001,16.5,16.5,16.5
S03,K0002,3.95,3.95,3.95
S03,K0003,10.0,10.0,10.0
S03,K0004,19.17,19.17,19.17
S03,K0005,3.85,3.85,3.85
S03,K0006,9.36,9.36,9.36
S03,K0007,23.8,23.8,23.8
S03,K0008,20.44,20.44,20.44
S03,K0009,10.05,10.05,10.05
S03,K0010,21.86,21.86,21.86
S03,K0011,28.9,28.9,28.9
S03,K0012,3.21,3.21,3.21
S03,K0013,28.79,28.79,28.79
S03,K0014,25.34,25.34,25.34
S03,K0015,13.89,13.89,13.89
S03,K0016,7.98,7.98,7.98
S03,K0017,33.63,33.63,33.63
S03,K0018,13.77,13.77,13.77
S03,K0019,5.97,5.97,5.97
S03,K0020,6.09,6.09,6.09
S03,K0021,30.12,30.12,30.12
S03,K0022,22.32,22.32,22.32
S03,K0023,28.83,28.83,28.83
S03,K0024,26.35,26.35,26.35
S03,K0025,20.16,20.16,20.16
S03,K0026,34.14,34.14,34.14
S03,K0027,15.11,15.11,15.11
S03,K0028,20.67,20.67,20.67
